anzsic_division_code,industry,internal_grouping_example,cyclical_score,rate_sensitivity_score,demand_dependency_score,external_shock_score,sales_growth_pct_foundation,ebitda_margin_pct_foundation,wages_to_sales_pct_foundation,employment_000_foundation,sector_key,classification_risk_score,foundation_source
H,Accommodation and Food Services,Hospitality and leisure,2,3.5,3.0,2.5,8.602120000851986,11.379727388618312,25.539829372732324,1217.9,accommodation and food services,2.75,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
N,Administrative and Support Services,Administrative and support services,2,3.0,2.0,1.5,6.169277981793164,9.266216572165305,47.451929075457834,1006.4,administrative and support services,2.12,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
A,"Agriculture, Forestry and Fishing",Primary production and agribusiness,5,2.5,4.5,4.5,-11.05070849300419,14.583542063253516,9.745182513442206,411.0,agriculture forestry and fishing,4.12,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
R,Arts and Recreation Services,Arts and recreation services,2,3.0,2.5,2.0,6.375960331141339,13.45003501050315,22.548764629388817,277.3,arts and recreation services,2.38,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
E,Construction,"Building, civil and trade services",2,3.5,3.0,2.5,10.53712060879568,10.152580092540706,15.038185049392402,1290.7,construction,2.75,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
P,Education and Training,Education and training,2,2.5,1.0,1.5,10.66626351735913,11.725944616769258,50.87671364973241,515.8,education and training,1.75,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
D,"Electricity, Gas, Water and Waste Services",Utilities and infrastructure,3,1.5,2.0,2.5,3.6017726066391864,20.950518333653292,9.93472835477059,142.5,electricity gas water and waste services,2.25,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
Q,Health Care and Social Assistance,Health and care services,2,1.5,1.0,1.5,7.542332601984714,16.650818523131594,43.28730675309485,1796.9,health care and social assistance,1.5,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
J,Information Media and Telecommunications,"Media, telco and information services",3,1.5,2.0,2.0,5.950230514140897,20.023071572768757,20.013741157310804,188.3,information media and telecommunications,2.12,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
C,Manufacturing,Industrial and manufacturing,4,3.0,3.5,3.5,1.3373721209350098,9.154432427912152,14.29874426049059,901.7,manufacturing,3.5,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
B,Mining,Mining and resources,5,2.0,4.0,4.5,-6.255404741315274,47.330649929596206,7.799886622467038,234.7,mining,3.88,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
S,Other Services,Other services,1,4.0,2.0,2.5,13.197854669714193,5.282781231882609,31.620719297894883,583.2,other services,2.38,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
M,"Professional, Scientific and Technical Services",Professional and technical services,2,2.0,1.5,1.5,8.681090000123138,12.992998039904375,35.329307395112224,1317.4,professional scientific and technical services,1.75,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
O,Public Administration and Safety,Public administration and safety,2,2.0,1.0,1.5,11.692374854481958,9.601980327014527,42.362061103511174,106.8,public administration and safety,1.62,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
L,"Rental, Hiring and Real Estate Services",Real estate and rental services,2,3.0,2.5,2.0,7.718200791819041,40.87702728229484,13.004830396416331,420.9,rental hiring and real estate services,2.38,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
G,Retail Trade,Consumer retail and discretionary,3,4.0,3.0,3.0,4.819178970381488,7.800646854858638,10.283002886135204,1509.6,retail trade,3.25,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
I,"Transport, Postal and Warehousing","Freight, logistics and storage",3,2.0,2.5,2.5,3.463130331953712,17.718589272593682,19.693036166217652,670.6,transport postal and warehousing,2.5,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
F,Wholesale Trade,Wholesale and distribution,3,3.5,2.5,3.5,2.538040736118119,6.120776168493568,6.767194773747014,604.2,wholesale trade,3.12,generated from ABS Australian Industry public data using deterministic APRA-informed proxy classification rules
