region,property_segment,approvals_change_pct,commencements_signal,completions_signal,cycle_stage,market_softness_score,market_softness_band,as_of_date,source_note,region_risk_score,region_risk_band
Australia,Offices,-19.8,Proxy from approvals trend,Proxy from approvals trend,downturn,4.3,High,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,4.21,High
Australia,Agricultural and aquacultural buildings,-27.02,Proxy from approvals trend,Proxy from approvals trend,downturn,3.9,Elevated,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,4.01,High
Australia,Commercial Buildings - Total,-49.71,Proxy from approvals trend,Proxy from approvals trend,slowing,3.8,Elevated,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,3.84,Elevated
Australia,Retail and wholesale trade buildings,6.48,Proxy from approvals trend,Proxy from approvals trend,slowing,3.4,Elevated,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,3.39,Elevated
Australia,Total Non-residential,-15.94,Proxy from approvals trend,Proxy from approvals trend,slowing,3.35,Elevated,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,3.49,Elevated
Australia,Education buildings,-31.29,Proxy from approvals trend,Proxy from approvals trend,slowing,3.25,Elevated,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,3.56,Elevated
Australia,Aged care facilities,-21.97,Proxy from approvals trend,Proxy from approvals trend,slowing,3.2,Elevated,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,3.41,Elevated
Australia,Short term accommodation buildings,112.01,Proxy from approvals trend,Proxy from approvals trend,neutral,3.1,Elevated,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.99,Medium
Australia,Health buildings,-35.96,Proxy from approvals trend,Proxy from approvals trend,neutral,2.4,Medium,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.76,Medium
Australia,Industrial Buildings - Total,94.79,Proxy from approvals trend,Proxy from approvals trend,growth,2.15,Medium,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.39,Medium
Australia,Warehouses,108.47,Proxy from approvals trend,Proxy from approvals trend,growth,1.7,Low,2026-03-01,ABS Building Approvals - Non-residential; building activity not staged; commencements and completions proxied from approvals trend,2.04,Medium
