sector_key,anzsic_division_code,industry,internal_grouping_example,classification_risk_score,sales_m_latest,employment_000_latest,ebitda_margin_pct_latest,ebitda_margin_change_pctpts,sales_growth_pct,wages_to_sales_pct_latest,gross_operating_profit_to_sales_ratio_latest,gross_operating_profit_to_sales_ratio_yoy_change,inventories_to_sales_ratio_latest,inventories_to_sales_ratio_yoy_change,employment_yoy_growth_pct,demand_proxy_building_type,demand_proxy_reliable,demand_yoy_growth_pct,cash_rate_latest_pct,cash_rate_change_1y_pctpts,inventory_days_est,inventory_days_yoy_change,inventory_days_est_source,inventory_stock_build_risk,employment_score,margin_level_score,margin_trend_score,inventory_score,demand_score,macro_risk_score,industry_base_risk_score,industry_base_risk_level
accommodation and food services,H,Accommodation and Food Services,Hospitality and leisure,2.75,152965,1217.9,11.379727388618312,-1.3637070695603057,8.602120000851986,25.539829372732324,0.1,0.0,0.06,0.0,0.7248089949966952,Short term accommodation buildings,True,113.70446184881926,4.35,0.5,6.1,0.0,ABS quarterly inventories/sales ratio converted to estimated inventory days,Low,4,4,3,1,1,2.6,2.68,Medium
administrative and support services,N,Administrative and Support Services,Administrative and support services,2.12,144266,1006.4,9.266216572165305,-0.6209657832433919,6.169277981793164,47.451929075457834,0.07,-0.009999999999999995,,,3.0717691337907027,Offices,False,,4.35,0.5,8.0,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,2,5,3,1,3,2.8,2.43,Medium
agriculture forestry and fishing,A,"Agriculture, Forestry and Fishing",Primary production and agribusiness,4.12,119772,411.0,14.583542063253516,-5.488198423334131,-11.05070849300419,9.745182513442206,,,,,-5.114110005950289,Agricultural and aquacultural buildings,True,58.37037037037036,4.35,0.5,31.7,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,5,3,5,2,1,3.2,3.71,Elevated
arts and recreation services,R,Arts and Recreation Services,Arts and recreation services,2.38,49985,277.3,13.45003501050315,-2.2983316284974666,6.375960331141339,22.548764629388817,0.12,-0.010000000000000009,,,-5.793275806882092,Entertainment and recreation buildings,True,-56.12163103991198,4.35,0.5,15.0,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,5,3,4,2,5,3.8,3.02,Moderate-high
construction,E,Construction,"Building, civil and trade services",2.75,624590,1290.7,10.152580092540706,-0.40471572198898187,10.53712060879568,15.038185049392402,0.08,0.0,,,1.4730323170025317,Total Non-residential,True,71.4623487039674,4.35,0.5,20.0,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,3,4,3,2,1,2.6,2.68,Medium
education and training,P,Education and Training,Education and training,1.75,62221,515.8,11.725944616769258,-0.939465172644514,10.66626351735913,50.87671364973241,,,,,5.634950492821078,Education buildings,True,-21.367742757790587,4.35,0.5,10.7,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,1,4,5,2,5,3.4,2.49,Medium
electricity gas water and waste services,D,"Electricity, Gas, Water and Waste Services",Utilities and infrastructure,2.25,166688,142.5,20.950518333653292,0.5611912653532407,3.6017726066391864,9.93472835477059,0.2,0.0,0.08,0.009999999999999995,12.291143563467987,Total Non-residential,False,,4.35,0.5,9.1,1.1,ABS quarterly inventories/sales ratio converted to estimated inventory days,Low,1,2,3,1,3,2.0,2.14,Medium
health care and social assistance,Q,Health Care and Social Assistance,Health and care services,1.5,224001,1796.9,16.650818523131594,-0.8405757281802728,7.542332601984714,43.28730675309485,,,,,3.7362582470246597,Health buildings,False,,4.35,0.5,6.0,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,2,3,5,1,3,2.8,2.08,Medium
information media and telecommunications,J,Information Media and Telecommunications,"Media, telco and information services",2.12,117894,188.3,20.023071572768757,0.8782655551364478,5.950230514140897,20.013741157310804,0.19,-0.010000000000000009,,,-4.774817022318889,Offices,False,,4.35,0.5,8.0,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,5,2,4,1,3,3.0,2.52,Medium
manufacturing,C,Manufacturing,Industrial and manufacturing,3.5,514199,901.7,9.154432427912152,-0.8332896052245626,1.3373721209350098,14.29874426049059,0.1,-0.009999999999999995,0.52,-0.030000000000000027,-0.9267832441852364,Industrial Buildings - Total,True,55.53198132831347,4.35,0.5,52.7,-3.7,ABS quarterly inventories/sales ratio converted to estimated inventory days,Moderate,5,4,3,3,1,3.2,3.36,Elevated
